session_id,timestamp,sample_interval_sec,workflow_block_id,workflow_phase,experiment_type,quality_constraint,experiment_running_flag,monitoring_required_flag,live_view_enabled_flag,continuous_acquisition_display_flag,tile_scan_enabled_flag,user_interacting_flag,seconds_since_last_ui_interaction,tile_count_x,tile_count_y,tile_overlap_pct,planned_scan_area_mm2,preview_resolution_pct,camera_light_usage_index_pct,perf_cpu_pct,perf_gpu_usage_pct,perf_gpu_power_w,perf_disk_write_mb_s,perf_incoming_data_mb_s,processing_items_in_flight,estimated_system_power_w,estimated_energy_wh_interval,recommended_action
Z6G4_S10_001,2026-03-22 14:58:09,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,15,5,6,10.48,177.32,72.89,60.54,14.844,34.606,47.327,17.335,12.047,0.799,208.961,0.87067,no_action
Z6G4_S10_001,2026-03-22 14:58:24,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,30,4,6,11.17,178.6,58.91,63.14,12.97,34.988,47.253,18.038,13.267,0.444,202.951,0.84563,no_action
Z6G4_S10_001,2026-03-22 14:58:39,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,45,5,8,10.91,174.71,80.07,57.68,13.868,29.791,43.49,17.53,12.407,1.268,200.481,0.83534,no_action
Z6G4_S10_001,2026-03-22 14:58:54,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,True,0,4,7,11.22,164.34,57.44,68.36,13.144,31.908,47.208,15.574,13.244,0.892,201.221,0.83842,no_action
Z6G4_S10_001,2026-03-22 14:59:09,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,15,5,7,8.86,169.13,84.05,61.32,15.173,29.315,44.497,15.248,13.109,1.076,208.042,0.86684,no_action
Z6G4_S10_001,2026-03-22 14:59:24,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,True,0,5,7,7.33,178.85,78.96,58.26,12.577,34.605,49.976,16.131,12.431,1.783,207.552,0.8648,no_action
Z6G4_S10_001,2026-03-22 14:59:39,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,15,5,6,11.26,179.27,71.98,55.93,15.182,30.822,42.675,15.082,11.293,0.457,200.532,0.83555,no_action
Z6G4_S10_001,2026-03-22 14:59:54,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,30,5,7,8.71,162.56,70.02,51.56,13.323,35.473,46.607,15.899,14.092,0.906,201.222,0.83842,no_action
Z6G4_S10_001,2026-03-22 15:00:09,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,45,4,7,10.73,165.74,66.4,49.91,12.012,36.892,45.2,15.207,11.544,0.469,194.573,0.81072,no_action
Z6G4_S10_001,2026-03-22 15:00:24,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,60,5,7,7.36,171.05,59.94,65.87,13.458,31.201,44.607,14.962,9.989,1.267,204.591,0.85246,no_action
Z6G4_S10_001,2026-03-22 15:00:39,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,75,6,6,10.28,184.98,65.28,62.05,13.289,33.882,47.586,16.4,12.051,0.789,205.112,0.85463,no_action
Z6G4_S10_001,2026-03-22 15:00:54,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,90,5,7,10.51,186.71,64.56,66.11,13.289,32.906,49.247,18.805,12.365,0.99,199.419,0.83091,no_action
Z6G4_S10_001,2026-03-22 15:01:09,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,105,5,7,6.88,169.59,66.45,66.87,11.044,32.433,44.961,18.062,12.256,1.533,209.719,0.87383,no_action
Z6G4_S10_001,2026-03-22 15:01:24,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,120,5,7,11.37,178.86,77.83,62.72,12.502,31.715,45.663,15.964,12.293,1.474,201.06,0.83775,no_action
Z6G4_S10_001,2026-03-22 15:01:39,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,135,5,8,8.9,158.16,68.67,68.48,13.371,34.917,48.201,16.458,11.418,1.423,213.896,0.89123,no_action
Z6G4_S10_001,2026-03-22 15:01:54,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,150,5,8,13.45,177.9,69.56,64.98,13.132,28.753,45.654,15.329,12.8,1.993,216.996,0.90415,no_action
Z6G4_S10_001,2026-03-22 15:02:09,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,165,5,7,11.44,184.82,77.74,71.0,11.79,30.832,44.498,16.45,12.666,0.644,191.593,0.7983,no_action
Z6G4_S10_001,2026-03-22 15:02:24,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,180,4,7,9.94,165.36,79.58,65.54,12.739,36.196,46.46,17.281,13.055,1.759,204.614,0.85256,no_action
Z6G4_S10_001,2026-03-22 15:02:39,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,195,5,7,9.44,186.91,70.43,66.21,13.72,32.844,49.966,15.991,11.821,1.207,197.767,0.82403,no_action
Z6G4_S10_001,2026-03-22 15:02:54,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,210,5,6,8.5,181.03,68.1,63.29,13.307,33.743,44.002,16.603,13.98,1.588,208.949,0.87062,no_action
Z6G4_S10_001,2026-03-22 15:03:09,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,225,5,6,11.26,174.41,74.06,65.77,16.294,32.988,45.549,16.535,13.647,1.018,203.436,0.84765,no_action
Z6G4_S10_001,2026-03-22 15:03:24,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,240,5,6,10.87,188.75,79.72,73.2,13.336,34.112,44.486,15.875,14.179,1.138,209.887,0.87453,no_action
Z6G4_S10_001,2026-03-22 15:03:39,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,255,5,7,13.45,192.04,61.7,58.37,13.677,32.398,49.511,15.873,15.053,1.64,212.181,0.88409,no_action
Z6G4_S10_001,2026-03-22 15:03:54,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,270,6,7,13.24,175.91,78.26,58.13,12.832,34.713,51.329,17.23,13.568,1.285,205.472,0.85613,no_action
Z6G4_S10_001,2026-03-22 15:04:09,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,285,5,6,9.41,179.9,65.38,73.14,13.685,30.277,45.321,16.413,12.59,1.199,211.407,0.88086,no_action
Z6G4_S10_001,2026-03-22 15:04:24,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,300,4,8,8.43,186.5,71.72,59.58,13.709,32.695,45.826,17.893,14.067,1.596,198.339,0.82641,no_action
Z6G4_S10_001,2026-03-22 15:04:39,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,315,5,7,13.07,167.34,63.48,61.16,13.695,35.752,47.96,18.679,12.684,1.149,213.309,0.88879,no_action
