session_id,timestamp,sample_interval_sec,workflow_block_id,workflow_phase,experiment_type,quality_constraint,experiment_running_flag,monitoring_required_flag,live_view_enabled_flag,continuous_acquisition_display_flag,tile_scan_enabled_flag,user_interacting_flag,seconds_since_last_ui_interaction,tile_count_x,tile_count_y,tile_overlap_pct,planned_scan_area_mm2,preview_resolution_pct,camera_light_usage_index_pct,perf_cpu_pct,perf_gpu_usage_pct,perf_gpu_power_w,perf_disk_write_mb_s,perf_incoming_data_mb_s,processing_items_in_flight,estimated_system_power_w,estimated_energy_wh_interval,recommended_action
Z6G4_S1_001,2026-03-22 14:58:09,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,15,8,11,20.65,443.87,94.28,67.98,11.259,49.979,45.278,34.899,29.601,0.43,255.735,1.06556,optimize_tile_scan_settings
Z6G4_S1_001,2026-03-22 14:58:24,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,30,8,11,19.51,414.44,90.16,65.77,10.98,37.175,43.891,30.609,30.086,0.184,270.003,1.12501,optimize_tile_scan_settings
Z6G4_S1_001,2026-03-22 14:58:39,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,45,8,11,19.84,423.03,86.28,63.77,11.424,33.487,42.041,31.285,33.85,0.905,260.075,1.08365,optimize_tile_scan_settings
Z6G4_S1_001,2026-03-22 14:58:54,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,60,8,10,19.74,428.2,86.14,67.49,11.268,43.057,45.943,25.358,28.668,0.0,266.895,1.11206,optimize_tile_scan_settings
Z6G4_S1_001,2026-03-22 14:59:09,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,75,9,10,19.17,397.81,90.01,64.85,11.413,37.206,44.354,30.751,32.483,0.276,265.915,1.10798,optimize_tile_scan_settings
Z6G4_S1_001,2026-03-22 14:59:24,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,90,8,9,19.76,410.72,83.31,71.01,10.943,25.773,44.948,25.66,26.732,0.937,260.351,1.0848,optimize_tile_scan_settings
Z6G4_S1_001,2026-03-22 14:59:39,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,105,9,10,20.18,438.19,89.54,71.27,10.759,31.993,43.532,32.772,33.146,0.637,249.09,1.03788,optimize_tile_scan_settings
Z6G4_S1_001,2026-03-22 14:59:54,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,120,9,10,20.36,420.86,86.9,74.33,11.214,28.302,46.771,32.447,32.065,0.338,272.596,1.13582,pause_live_view
Z6G4_S1_001,2026-03-22 15:00:09,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,135,9,9,20.25,431.9,92.55,64.63,11.155,37.286,47.626,28.755,27.813,0.596,261.539,1.08975,pause_live_view
Z6G4_S1_001,2026-03-22 15:00:24,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,150,8,9,22.59,434.59,90.74,64.84,11.595,36.762,44.648,27.074,26.084,0.325,264.033,1.10014,pause_live_view
Z6G4_S1_001,2026-03-22 15:00:39,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,165,7,10,19.37,442.79,84.53,65.57,11.477,29.311,45.338,27.005,25.604,0.373,256.605,1.06919,pause_live_view
Z6G4_S1_001,2026-03-22 15:00:54,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,180,9,10,19.35,401.04,83.68,68.65,10.543,40.068,44.188,31.918,29.793,0.069,257.048,1.07103,pause_live_view
Z6G4_S1_001,2026-03-22 15:01:09,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,195,8,11,19.3,436.8,89.08,70.39,10.875,30.017,45.396,29.078,28.763,0.0,260.541,1.08559,pause_live_view
Z6G4_S1_001,2026-03-22 15:01:24,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,210,9,10,19.24,412.88,92.44,65.78,10.896,36.126,45.578,31.17,33.712,0.0,263.335,1.09723,pause_live_view
Z6G4_S1_001,2026-03-22 15:01:39,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,True,0,8,10,20.05,430.07,95.03,64.61,11.391,37.33,42.344,28.4,28.105,0.34,252.342,1.05143,optimize_tile_scan_settings
Z6G4_S1_001,2026-03-22 15:01:54,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,15,8,11,20.94,408.08,86.6,73.82,10.633,40.193,47.818,32.328,29.877,0.0,265.773,1.10739,optimize_tile_scan_settings
Z6G4_S1_001,2026-03-22 15:02:09,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,30,7,11,19.62,431.59,89.83,71.75,10.389,38.444,43.827,28.948,24.158,0.178,254.88,1.062,optimize_tile_scan_settings
Z6G4_S1_001,2026-03-22 15:02:24,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,45,8,8,22.14,402.72,95.34,64.08,10.666,48.651,44.416,24.256,24.455,0.873,255.204,1.06335,optimize_tile_scan_settings
Z6G4_S1_001,2026-03-22 15:02:39,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,60,8,10,18.72,398.34,88.84,71.18,11.181,38.757,44.965,29.888,30.636,0.202,271.227,1.13011,optimize_tile_scan_settings
Z6G4_S1_001,2026-03-22 15:02:54,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,75,8,12,20.03,407.14,85.77,66.41,11.584,34.933,45.312,34.827,35.225,0.0,260.85,1.08687,optimize_tile_scan_settings
Z6G4_S1_001,2026-03-22 15:03:09,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,90,8,9,21.03,434.52,95.14,69.92,9.968,23.07,45.458,26.583,25.486,0.653,257.14,1.07142,optimize_tile_scan_settings
Z6G4_S1_001,2026-03-22 15:03:24,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,105,8,10,22.36,397.18,93.75,67.85,10.805,48.923,46.588,29.527,27.597,0.137,271.146,1.12978,optimize_tile_scan_settings
Z6G4_S1_001,2026-03-22 15:03:39,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,120,9,10,20.17,413.6,90.33,67.81,10.809,37.109,49.311,33.175,33.879,0.718,274.483,1.14368,pause_live_view
