session_id,timestamp,sample_interval_sec,workflow_block_id,workflow_phase,experiment_type,quality_constraint,experiment_running_flag,monitoring_required_flag,live_view_enabled_flag,continuous_acquisition_display_flag,tile_scan_enabled_flag,user_interacting_flag,seconds_since_last_ui_interaction,tile_count_x,tile_count_y,tile_overlap_pct,planned_scan_area_mm2,preview_resolution_pct,camera_light_usage_index_pct,perf_cpu_pct,perf_gpu_usage_pct,perf_gpu_power_w,perf_disk_write_mb_s,perf_incoming_data_mb_s,processing_items_in_flight,estimated_system_power_w,estimated_energy_wh_interval,recommended_action
Z6G4_S3_001,2026-03-22 14:58:09,15,1,tile_scan_acquisition,tile_scan,medium,True,True,False,False,True,False,15,4,7,13.15,117.08,32.29,60.71,8.805,39.956,31.231,23.974,23.541,0.168,196.383,0.81826,no_action
Z6G4_S3_001,2026-03-22 14:58:24,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,30,4,5,10.33,113.58,64.56,65.52,8.734,13.551,36.603,19.298,16.98,0.488,211.712,0.88213,no_action
Z6G4_S3_001,2026-03-22 14:58:39,15,1,tile_scan_acquisition,tile_scan,medium,True,True,False,False,True,False,45,3,5,12.63,113.64,33.58,59.5,8.81,18.783,32.179,12.028,11.234,0.092,183.715,0.76548,no_action
Z6G4_S3_001,2026-03-22 14:58:54,15,1,tile_scan_acquisition,tile_scan,medium,True,True,False,False,True,False,60,5,5,12.47,113.93,33.79,64.35,8.449,33.133,32.898,17.663,22.475,0.548,191.525,0.79802,no_action
Z6G4_S3_001,2026-03-22 14:59:09,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,75,3,5,13.49,125.05,48.55,65.93,8.828,25.078,34.243,11.334,13.285,0.145,195.28,0.81367,no_action
Z6G4_S3_001,2026-03-22 14:59:24,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,90,3,5,12.37,118.37,51.63,71.84,8.268,28.144,33.418,11.831,13.997,0.889,197.68,0.82367,no_action
Z6G4_S3_001,2026-03-22 14:59:39,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,True,0,4,4,11.28,113.72,50.6,70.56,8.312,26.265,32.865,13.917,12.466,0.308,205.079,0.8545,no_action
Z6G4_S3_001,2026-03-22 14:59:54,15,1,tile_scan_acquisition,tile_scan,medium,True,True,False,False,True,False,15,3,5,14.23,119.72,31.5,66.18,8.625,39.402,32.987,15.108,12.597,0.0,185.708,0.77378,optimize_tile_scan_settings
Z6G4_S3_001,2026-03-22 15:00:09,15,1,tile_scan_acquisition,tile_scan,medium,True,True,False,False,True,False,30,4,5,9.72,122.02,33.25,64.78,8.672,25.748,34.301,19.348,14.694,0.0,185.711,0.77379,no_action
Z6G4_S3_001,2026-03-22 15:00:24,15,1,tile_scan_acquisition,tile_scan,medium,True,True,False,False,True,False,45,4,6,10.89,113.41,32.95,67.54,8.22,28.158,29.759,18.713,20.095,0.589,183.97,0.76654,no_action
