session_id,timestamp,sample_interval_sec,workflow_block_id,workflow_phase,experiment_type,quality_constraint,experiment_running_flag,monitoring_required_flag,live_view_enabled_flag,continuous_acquisition_display_flag,tile_scan_enabled_flag,user_interacting_flag,seconds_since_last_ui_interaction,tile_count_x,tile_count_y,tile_overlap_pct,planned_scan_area_mm2,preview_resolution_pct,camera_light_usage_index_pct,perf_cpu_pct,perf_gpu_usage_pct,perf_gpu_power_w,perf_disk_write_mb_s,perf_incoming_data_mb_s,processing_items_in_flight,estimated_system_power_w,estimated_energy_wh_interval,recommended_action
Z6G4_S4_001,2026-03-22 14:58:09,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,15,5,7,8.56,208.58,93.78,66.45,8.708,17.95,34.411,16.588,13.947,0.251,220.417,0.91841,no_action
Z6G4_S4_001,2026-03-22 14:58:24,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,30,6,7,11.89,197.76,100.0,67.39,8.089,38.034,36.159,18.866,17.822,0.496,221.628,0.92345,no_action
Z6G4_S4_001,2026-03-22 14:58:39,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,45,5,7,10.24,211.44,100.0,70.52,9.287,32.035,35.796,12.724,15.786,0.0,225.033,0.93764,no_action
Z6G4_S4_001,2026-03-22 14:58:54,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,60,6,7,12.51,192.15,98.29,71.78,8.846,22.181,37.055,19.404,19.593,0.301,225.222,0.93842,no_action
Z6G4_S4_001,2026-03-22 14:59:09,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,75,6,8,10.58,205.41,100.0,64.43,9.007,25.121,35.887,20.336,21.046,0.68,216.951,0.90396,no_action
Z6G4_S4_001,2026-03-22 14:59:24,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,90,6,6,9.64,190.78,99.16,64.44,8.89,20.146,37.978,16.402,18.226,0.411,227.309,0.94712,no_action
Z6G4_S4_001,2026-03-22 14:59:39,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,105,7,8,11.53,209.97,100.0,64.82,8.593,25.568,33.342,25.708,26.591,0.467,220.963,0.92068,no_action
Z6G4_S4_001,2026-03-22 14:59:54,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,120,7,7,10.21,197.97,95.39,69.6,8.485,33.102,34.854,21.805,20.69,0.375,230.558,0.96066,pause_live_view
Z6G4_S4_001,2026-03-22 15:00:09,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,135,6,6,8.96,205.99,99.42,66.54,9.203,24.851,34.045,15.405,14.768,0.088,223.867,0.93278,pause_live_view
Z6G4_S4_001,2026-03-22 15:00:24,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,150,6,7,10.7,208.46,100.0,58.04,9.208,37.657,34.328,17.229,16.919,0.329,223.614,0.93172,pause_live_view
Z6G4_S4_001,2026-03-22 15:00:39,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,165,7,6,12.68,193.81,100.0,60.98,9.228,25.98,37.577,20.832,16.954,0.741,228.743,0.95309,pause_live_view
Z6G4_S4_001,2026-03-22 15:00:54,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,180,5,8,11.13,211.44,95.29,66.27,9.918,30.106,34.693,20.808,18.23,0.235,228.08,0.95033,pause_live_view
Z6G4_S4_001,2026-03-22 15:01:09,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,195,7,6,9.66,194.89,95.94,69.17,9.163,24.192,35.47,18.808,16.222,0.0,231.856,0.96607,pause_live_view
Z6G4_S4_001,2026-03-22 15:01:24,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,210,7,8,11.08,198.64,96.19,66.94,8.974,21.878,35.505,26.163,23.426,0.399,223.055,0.92939,pause_live_view
Z6G4_S4_001,2026-03-22 15:01:39,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,True,0,5,7,10.86,207.97,100.0,63.48,9.244,18.213,32.261,15.788,14.343,0.17,218.5,0.91042,no_action
Z6G4_S4_001,2026-03-22 15:01:54,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,True,0,6,6,10.61,199.86,100.0,66.02,8.783,25.719,37.696,17.829,18.767,1.035,240.573,1.00239,no_action
Z6G4_S4_001,2026-03-22 15:02:09,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,15,6,8,9.25,206.65,99.64,63.31,9.081,30.496,32.877,20.075,22.401,0.2,227.644,0.94852,no_action
Z6G4_S4_001,2026-03-22 15:02:24,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,30,6,7,7.06,200.48,100.0,60.8,9.163,26.959,36.627,18.025,18.062,0.664,228.339,0.95141,no_action
Z6G4_S4_001,2026-03-22 15:02:39,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,45,6,8,9.54,204.51,100.0,67.05,8.938,32.434,37.632,18.895,20.984,0.336,223.783,0.93243,no_action
Z6G4_S4_001,2026-03-22 15:02:54,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,60,7,6,11.79,191.82,100.0,64.14,8.78,22.505,35.319,20.372,18.626,0.0,222.835,0.92848,no_action
Z6G4_S4_001,2026-03-22 15:03:09,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,75,5,6,10.44,192.76,100.0,64.88,9.002,28.123,33.685,11.081,12.535,0.695,210.914,0.87881,no_action
Z6G4_S4_001,2026-03-22 15:03:24,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,90,5,7,12.05,211.78,100.0,69.73,9.072,24.174,36.548,16.198,12.04,0.466,217.915,0.90798,no_action
Z6G4_S4_001,2026-03-22 15:03:39,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,105,6,6,11.52,210.17,100.0,60.97,8.654,23.549,35.609,16.626,17.473,0.352,226.839,0.94516,no_action
Z6G4_S4_001,2026-03-22 15:03:54,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,120,6,7,7.73,192.19,100.0,63.18,9.241,27.54,35.848,19.846,21.323,0.559,224.15,0.93396,pause_live_view
Z6G4_S4_001,2026-03-22 15:04:09,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,135,5,6,10.39,194.93,96.21,63.35,9.364,33.933,36.76,13.444,12.287,0.653,229.964,0.95818,pause_live_view
Z6G4_S4_001,2026-03-22 15:04:24,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,True,0,6,7,10.25,192.07,100.0,65.6,8.966,32.708,37.811,18.952,20.335,0.0,231.811,0.96588,no_action
Z6G4_S4_001,2026-03-22 15:04:39,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,15,6,7,9.88,209.36,100.0,61.41,8.881,28.162,33.876,18.042,20.177,0.567,218.076,0.90865,no_action
Z6G4_S4_001,2026-03-22 15:04:54,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,30,6,6,8.97,201.04,100.0,61.78,9.38,26.087,34.728,15.018,16.879,1.36,220.526,0.91886,no_action
Z6G4_S4_001,2026-03-22 15:05:09,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,45,7,6,9.35,193.96,100.0,61.72,9.057,7.754,34.05,18.229,18.994,0.411,218.578,0.91074,no_action
Z6G4_S4_001,2026-03-22 15:05:24,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,True,0,6,7,8.64,192.18,94.74,67.0,9.277,29.611,33.549,17.24,16.76,0.803,224.552,0.93563,no_action
Z6G4_S4_001,2026-03-22 15:05:39,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,15,5,7,10.68,195.03,100.0,61.27,9.306,38.587,35.827,15.987,14.263,0.0,228.742,0.95309,no_action
Z6G4_S4_001,2026-03-22 15:05:54,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,30,5,7,10.83,201.04,100.0,66.76,8.447,32.772,35.608,16.157,16.803,0.485,224.212,0.93421,no_action
Z6G4_S4_001,2026-03-22 15:06:09,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,45,6,7,11.04,206.63,93.99,58.43,9.206,30.75,35.005,19.908,19.384,0.828,224.672,0.93613,no_action
Z6G4_S4_001,2026-03-22 15:06:24,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,60,5,6,11.47,200.35,100.0,69.39,9.138,17.442,36.888,15.47,15.795,1.01,228.767,0.9532,no_action
Z6G4_S4_001,2026-03-22 15:06:39,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,75,6,8,7.99,194.4,100.0,63.19,9.065,23.594,37.538,21.443,22.233,0.652,229.167,0.95486,no_action
Z6G4_S4_001,2026-03-22 15:06:54,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,90,6,7,10.54,209.92,100.0,66.25,9.169,27.354,38.076,18.731,16.881,0.789,230.711,0.9613,no_action
Z6G4_S4_001,2026-03-22 15:07:09,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,105,6,7,9.21,204.31,96.22,65.19,9.462,26.225,35.863,17.07,18.631,0.578,223.224,0.9301,no_action
Z6G4_S4_001,2026-03-22 15:07:24,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,120,6,7,7.72,193.09,98.56,64.23,9.022,36.21,35.723,17.526,18.573,0.159,214.254,0.89273,pause_live_view
Z6G4_S4_001,2026-03-22 15:07:39,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,135,6,6,11.7,203.61,100.0,65.81,9.438,25.894,36.608,16.994,17.453,0.623,225.252,0.93855,pause_live_view
Z6G4_S4_001,2026-03-22 15:07:54,15,1,processing,tile_scan,high,True,False,True,True,True,False,150,6,7,9.67,196.91,100.0,39.83,5.751,16.67,39.169,0.0,3.132,0.121,218.581,0.91075,pause_live_view
Z6G4_S4_001,2026-03-22 15:08:09,15,1,processing,tile_scan,high,True,False,True,True,True,False,165,6,8,10.03,201.3,100.0,34.34,4.433,18.068,36.619,1.027,1.807,0.021,214.468,0.89362,pause_live_view
Z6G4_S4_001,2026-03-22 15:08:24,15,1,processing,tile_scan,high,True,False,True,True,True,False,180,6,7,9.1,193.88,95.38,34.69,3.562,17.91,39.732,1.263,0.077,0.241,204.451,0.85188,pause_live_view
Z6G4_S4_001,2026-03-22 15:08:39,15,1,processing,tile_scan,high,True,False,True,True,True,False,195,6,6,11.24,194.7,93.78,36.85,5.854,17.497,39.886,0.534,0.354,0.251,216.672,0.9028,pause_live_view
Z6G4_S4_001,2026-03-22 15:08:54,15,1,processing,tile_scan,high,True,False,True,True,True,False,210,6,7,9.83,189.82,98.19,34.93,5.294,17.983,39.361,1.192,0.0,0.094,211.189,0.87995,pause_live_view
Z6G4_S4_001,2026-03-22 15:09:09,15,1,processing,tile_scan,high,True,False,True,True,True,False,225,6,7,10.44,203.6,100.0,31.19,5.403,16.17,40.326,1.897,0.0,0.226,209.462,0.87276,pause_live_view
Z6G4_S4_001,2026-03-22 15:09:24,15,1,processing,tile_scan,high,True,False,True,True,True,False,240,7,8,10.42,195.76,100.0,32.47,4.91,15.655,39.689,0.0,0.539,0.0,206.764,0.86152,pause_live_view
Z6G4_S4_001,2026-03-22 15:09:39,15,1,processing,tile_scan,high,True,False,True,True,True,False,255,6,6,11.27,199.07,100.0,36.36,4.601,13.788,36.839,0.042,0.0,0.021,208.591,0.86913,pause_live_view
Z6G4_S4_001,2026-03-22 15:09:54,15,1,processing,tile_scan,high,True,False,True,True,True,False,270,6,6,10.23,202.18,100.0,33.4,5.863,19.317,40.264,0.0,0.0,0.0,220.217,0.91757,pause_live_view
Z6G4_S4_001,2026-03-22 15:10:09,15,1,live_view_monitoring,overview_scan,high,True,True,True,True,False,False,285,0,0,0.0,0.0,100.0,91.41,5.983,47.021,40.059,2.287,0.0,0.0,215.04,0.896,pause_live_view
