session_id,timestamp,sample_interval_sec,workflow_block_id,workflow_phase,experiment_type,quality_constraint,experiment_running_flag,monitoring_required_flag,live_view_enabled_flag,continuous_acquisition_display_flag,tile_scan_enabled_flag,user_interacting_flag,seconds_since_last_ui_interaction,tile_count_x,tile_count_y,tile_overlap_pct,planned_scan_area_mm2,preview_resolution_pct,camera_light_usage_index_pct,perf_cpu_pct,perf_gpu_usage_pct,perf_gpu_power_w,perf_disk_write_mb_s,perf_incoming_data_mb_s,processing_items_in_flight,estimated_system_power_w,estimated_energy_wh_interval,recommended_action
Z6G4_S5_001,2026-03-22 14:58:09,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,15,9,12,17.99,512.2,70.23,70.01,12.04,41.436,44.001,30.871,30.504,0.55,259.024,1.07926,optimize_tile_scan_settings
Z6G4_S5_001,2026-03-22 14:58:24,15,1,tile_scan_acquisition,tile_scan,high,True,True,False,False,True,False,30,10,12,19.09,517.63,40.32,64.32,11.721,31.936,43.18,34.363,35.425,0.419,246.571,1.02738,optimize_tile_scan_settings
Z6G4_S5_001,2026-03-22 14:58:39,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,45,8,14,19.76,535.24,70.5,66.4,10.318,31.111,47.581,31.901,31.555,0.604,257.022,1.07092,optimize_tile_scan_settings
Z6G4_S5_001,2026-03-22 14:58:54,15,1,tile_scan_acquisition,tile_scan,high,True,True,False,False,True,False,60,9,12,18.6,511.53,43.97,66.25,11.021,40.007,41.913,27.984,28.108,0.833,238.361,0.99317,optimize_tile_scan_settings
Z6G4_S5_001,2026-03-22 14:59:09,15,1,tile_scan_acquisition,tile_scan,high,True,True,False,False,True,False,75,9,13,18.31,516.83,41.94,64.71,10.288,35.547,43.774,31.964,30.806,0.804,233.609,0.97337,optimize_tile_scan_settings
Z6G4_S5_001,2026-03-22 14:59:24,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,90,9,13,19.47,532.24,68.2,70.36,11.451,31.1,45.231,32.8,32.999,0.0,258.76,1.07817,optimize_tile_scan_settings
Z6G4_S5_001,2026-03-22 14:59:39,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,105,9,11,18.79,541.21,65.65,68.33,10.622,34.16,43.799,29.579,26.826,0.125,256.422,1.06842,optimize_tile_scan_settings
Z6G4_S5_001,2026-03-22 14:59:54,15,1,tile_scan_acquisition,tile_scan,high,True,True,False,False,True,False,120,9,12,20.03,510.08,40.58,63.5,10.831,31.032,42.009,28.193,29.967,0.223,239.01,0.99588,optimize_tile_scan_settings
Z6G4_S5_001,2026-03-22 15:00:09,15,1,tile_scan_acquisition,tile_scan,high,True,True,False,False,True,False,135,8,11,16.18,500.68,44.07,60.63,11.13,31.025,42.917,21.865,21.807,0.72,236.921,0.98717,optimize_tile_scan_settings
Z6G4_S5_001,2026-03-22 15:00:24,15,1,tile_scan_acquisition,tile_scan,high,True,True,False,False,True,False,150,9,14,20.06,497.0,40.15,65.0,10.767,26.54,44.408,34.743,34.67,1.454,240.91,1.00379,optimize_tile_scan_settings
Z6G4_S5_001,2026-03-22 15:00:39,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,165,8,12,20.51,524.64,71.63,71.28,11.651,33.03,42.346,26.245,26.862,0.309,248.965,1.03736,pause_live_view
Z6G4_S5_001,2026-03-22 15:00:54,15,1,tile_scan_acquisition,tile_scan,high,True,True,False,False,True,False,180,8,12,16.57,534.74,42.98,70.64,11.164,35.029,45.688,27.477,21.795,0.0,245.903,1.02459,optimize_tile_scan_settings
Z6G4_S5_001,2026-03-22 15:01:09,15,1,tile_scan_acquisition,tile_scan,high,True,True,False,False,True,False,195,9,12,20.34,542.0,42.78,63.11,11.871,27.086,45.072,33.123,31.355,0.529,246.593,1.02747,optimize_tile_scan_settings
Z6G4_S5_001,2026-03-22 15:01:24,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,210,9,13,20.16,514.58,80.48,60.47,10.996,35.089,43.445,32.444,33.838,0.521,251.918,1.04966,pause_live_view
Z6G4_S5_001,2026-03-22 15:01:39,15,1,tile_scan_acquisition,tile_scan,high,True,True,False,False,True,False,225,9,12,18.02,546.46,43.88,70.6,10.408,36.642,43.498,27.406,30.638,0.397,241.343,1.00559,optimize_tile_scan_settings
Z6G4_S5_001,2026-03-22 15:01:54,15,1,tile_scan_acquisition,tile_scan,high,True,True,False,False,True,False,240,9,11,18.87,507.93,42.17,66.3,11.277,31.275,43.136,28.375,28.817,0.759,248.456,1.03523,optimize_tile_scan_settings
Z6G4_S5_001,2026-03-22 15:02:09,15,1,tile_scan_acquisition,tile_scan,high,True,True,False,False,True,False,255,8,12,19.97,542.62,40.21,61.56,10.65,41.079,43.653,25.464,27.896,0.232,240.648,1.0027,optimize_tile_scan_settings
Z6G4_S5_001,2026-03-22 15:02:24,15,1,tile_scan_acquisition,tile_scan,high,True,True,False,False,True,False,270,10,11,18.01,498.76,42.55,69.34,10.699,25.51,42.705,27.357,31.805,0.839,239.92,0.99967,optimize_tile_scan_settings
Z6G4_S5_001,2026-03-22 15:02:39,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,285,9,12,17.13,502.32,67.69,63.46,12.063,35.309,44.457,29.763,28.197,0.0,257.743,1.07393,pause_live_view
Z6G4_S5_001,2026-03-22 15:02:54,15,1,tile_scan_acquisition,tile_scan,high,True,True,False,False,True,False,300,8,12,18.66,497.81,42.74,64.04,11.449,20.56,43.058,26.29,27.601,0.108,245.958,1.02483,optimize_tile_scan_settings
Z6G4_S5_001,2026-03-22 15:03:09,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,315,9,12,18.07,509.21,70.85,71.29,11.457,37.543,44.126,28.043,29.303,0.263,254.161,1.05901,pause_live_view
Z6G4_S5_001,2026-03-22 15:03:24,15,1,tile_scan_acquisition,tile_scan,high,True,True,False,False,True,False,330,9,12,17.09,549.75,40.59,63.71,11.607,23.388,43.819,29.788,28.268,0.582,244.434,1.01848,optimize_tile_scan_settings
Z6G4_S5_001,2026-03-22 15:03:39,15,1,tile_scan_acquisition,tile_scan,high,True,True,False,False,True,False,345,9,13,17.33,550.64,41.1,66.32,10.942,26.017,43.907,31.029,30.987,1.182,247.002,1.02918,optimize_tile_scan_settings
Z6G4_S5_001,2026-03-22 15:03:54,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,360,9,13,18.92,538.0,74.39,64.1,11.031,26.843,45.213,30.863,33.23,0.0,258.188,1.07578,pause_live_view
Z6G4_S5_001,2026-03-22 15:04:09,15,1,tile_scan_acquisition,tile_scan,high,True,True,False,False,True,False,375,9,13,17.03,503.74,42.93,66.78,10.593,37.251,47.499,28.514,29.184,0.042,243.344,1.01393,optimize_tile_scan_settings
Z6G4_S5_001,2026-03-22 15:04:24,15,1,tile_scan_acquisition,tile_scan,high,True,True,False,False,True,False,390,10,12,16.49,539.02,42.85,68.06,11.641,29.317,44.885,30.65,29.434,0.429,244.916,1.02048,optimize_tile_scan_settings
