session_id,timestamp,sample_interval_sec,workflow_block_id,workflow_phase,experiment_type,quality_constraint,experiment_running_flag,monitoring_required_flag,live_view_enabled_flag,continuous_acquisition_display_flag,tile_scan_enabled_flag,user_interacting_flag,seconds_since_last_ui_interaction,tile_count_x,tile_count_y,tile_overlap_pct,planned_scan_area_mm2,preview_resolution_pct,camera_light_usage_index_pct,perf_cpu_pct,perf_gpu_usage_pct,perf_gpu_power_w,perf_disk_write_mb_s,perf_incoming_data_mb_s,processing_items_in_flight,estimated_system_power_w,estimated_energy_wh_interval,recommended_action
Z6G4_S6_001,2026-03-22 14:58:09,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,15,7,6,10.75,254.6,97.46,87.22,16.662,40.089,51.804,21.149,19.192,0.71,230.87,0.96196,no_action
Z6G4_S6_001,2026-03-22 14:58:24,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,30,6,8,11.51,216.97,75.88,87.88,16.196,34.91,47.262,22.37,19.039,1.165,223.208,0.93003,no_action
Z6G4_S6_001,2026-03-22 14:58:39,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,True,0,7,8,10.79,245.68,100.0,90.28,15.45,38.337,49.73,20.899,16.974,1.444,227.567,0.9482,no_action
Z6G4_S6_001,2026-03-22 14:58:54,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,15,6,8,13.61,222.06,93.21,81.02,12.916,37.876,49.727,21.192,18.104,1.087,224.668,0.93612,no_action
Z6G4_S6_001,2026-03-22 14:59:09,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,30,6,9,9.81,222.15,89.98,89.62,15.175,38.554,53.463,19.503,18.74,1.441,226.718,0.94466,no_action
Z6G4_S6_001,2026-03-22 14:59:24,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,True,0,6,8,14.27,208.09,75.86,82.68,14.989,34.19,50.446,17.638,17.851,0.257,206.495,0.8604,no_action
Z6G4_S6_001,2026-03-22 14:59:39,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,15,6,9,12.49,257.84,76.76,87.87,13.017,37.784,50.818,20.128,19.103,1.163,221.418,0.92258,no_action
Z6G4_S6_001,2026-03-22 14:59:54,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,30,6,8,11.25,229.8,84.0,81.43,15.449,36.545,47.009,19.512,21.19,0.983,218.049,0.90854,no_action
Z6G4_S6_001,2026-03-22 15:00:09,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,45,5,8,9.82,252.89,89.23,100.0,14.445,35.811,49.985,20.779,20.028,1.207,225.243,0.93851,no_action
Z6G4_S6_001,2026-03-22 15:00:24,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,60,6,9,12.87,239.5,100.0,86.4,14.199,39.695,51.993,23.437,18.509,1.468,227.683,0.94868,no_action
Z6G4_S6_001,2026-03-22 15:00:39,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,True,0,6,8,12.55,220.26,82.44,94.34,13.694,39.951,46.817,22.672,20.398,1.458,229.661,0.95692,no_action
Z6G4_S6_001,2026-03-22 15:00:54,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,15,6,9,11.06,226.39,86.5,88.2,14.608,31.878,44.278,18.861,19.189,1.19,216.038,0.90016,no_action
Z6G4_S6_001,2026-03-22 15:01:09,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,30,6,7,13.85,253.96,85.08,90.62,13.909,40.647,52.613,22.999,20.049,0.45,220.315,0.91798,no_action
Z6G4_S6_001,2026-03-22 15:01:24,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,45,6,8,13.09,259.7,78.42,90.26,15.366,35.5,45.57,21.895,17.516,1.349,219.768,0.9157,no_action
Z6G4_S6_001,2026-03-22 15:01:39,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,60,6,9,10.73,243.59,80.2,75.7,17.978,37.143,50.201,21.768,18.673,0.526,220.093,0.91705,no_action
Z6G4_S6_001,2026-03-22 15:01:54,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,True,0,6,9,9.07,259.61,99.57,82.38,14.736,37.464,48.084,18.851,19.362,0.614,227.615,0.9484,no_action
Z6G4_S6_001,2026-03-22 15:02:09,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,15,6,7,12.06,236.31,88.11,85.01,12.714,34.362,50.136,19.331,19.675,0.227,208.211,0.86755,no_action
Z6G4_S6_001,2026-03-22 15:02:24,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,30,6,8,12.03,249.21,86.3,89.23,16.991,34.536,48.44,19.959,18.607,0.983,227.728,0.94887,no_action
Z6G4_S6_001,2026-03-22 15:02:39,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,True,0,5,9,12.73,234.77,91.55,81.21,19.095,37.518,49.068,21.43,19.901,0.659,225.978,0.94158,no_action
Z6G4_S6_001,2026-03-22 15:02:54,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,15,6,8,11.14,226.72,80.43,86.72,18.11,43.689,51.997,22.297,16.85,1.523,233.587,0.97328,no_action
Z6G4_S6_001,2026-03-22 15:03:09,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,30,6,7,12.27,269.82,89.88,92.95,16.298,34.18,44.339,19.724,20.335,1.323,226.135,0.94223,no_action
Z6G4_S6_001,2026-03-22 15:03:24,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,45,6,8,11.04,212.27,87.51,92.47,15.014,36.003,49.152,21.087,17.961,1.029,217.352,0.90563,no_action
Z6G4_S6_001,2026-03-22 15:03:39,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,60,6,6,9.44,223.11,83.12,81.21,14.176,38.441,53.929,21.23,19.543,0.794,217.573,0.90655,no_action
Z6G4_S6_001,2026-03-22 15:03:54,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,75,6,7,13.73,254.08,92.81,90.39,13.912,36.582,48.069,22.661,19.256,1.015,218.187,0.90911,no_action
Z6G4_S6_001,2026-03-22 15:04:09,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,True,0,5,7,10.78,233.75,86.02,87.47,16.399,41.737,48.002,20.208,21.262,1.048,223.315,0.93048,no_action
Z6G4_S6_001,2026-03-22 15:04:24,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,15,5,8,11.45,250.63,81.23,92.64,15.695,36.172,46.602,20.806,19.785,0.911,215.894,0.89956,no_action
Z6G4_S6_001,2026-03-22 15:04:39,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,30,7,8,12.11,244.57,86.64,87.13,18.673,36.099,46.123,19.538,17.247,0.736,214.419,0.89341,no_action
Z6G4_S6_001,2026-03-22 15:04:54,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,45,6,8,11.47,242.22,88.76,90.74,16.549,37.335,53.103,20.668,18.45,1.026,225.13,0.93804,no_action
Z6G4_S6_001,2026-03-22 15:05:09,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,True,0,7,8,9.81,244.81,77.83,88.22,15.622,39.363,50.913,20.697,19.141,1.499,231.201,0.96334,no_action
Z6G4_S6_001,2026-03-22 15:05:24,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,15,6,9,10.02,242.04,87.64,91.51,13.785,35.495,44.384,20.189,17.782,1.053,216.198,0.90083,no_action
Z6G4_S6_001,2026-03-22 15:05:39,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,30,6,7,11.9,221.93,93.53,86.33,15.0,36.503,50.298,22.113,17.46,0.965,221.558,0.92316,no_action
Z6G4_S6_001,2026-03-22 15:05:54,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,True,0,5,7,11.32,239.14,96.48,90.06,11.984,37.191,51.229,22.164,18.666,1.086,221.35,0.92229,no_action
Z6G4_S6_001,2026-03-22 15:06:09,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,True,0,6,8,11.51,223.15,86.76,90.23,16.037,35.026,44.368,22.117,18.251,1.591,230.152,0.95897,no_action
Z6G4_S6_001,2026-03-22 15:06:24,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,15,6,8,11.45,255.33,90.12,84.72,17.002,37.968,50.007,18.603,18.217,1.402,228.33,0.95138,no_action
Z6G4_S6_001,2026-03-22 15:06:39,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,30,6,8,10.71,246.74,88.18,90.53,13.836,36.411,44.578,21.286,19.816,0.745,215.76,0.899,no_action
Z6G4_S6_001,2026-03-22 15:06:54,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,45,6,8,12.99,235.79,91.82,87.89,12.786,38.192,43.501,18.709,19.141,1.275,216.841,0.9035,no_action
Z6G4_S6_001,2026-03-22 15:07:09,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,60,6,7,12.96,232.02,91.36,92.63,13.99,37.957,50.204,20.622,19.551,0.923,219.882,0.91617,no_action
Z6G4_S6_001,2026-03-22 15:07:24,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,75,7,7,12.89,233.87,92.99,78.79,13.224,35.3,48.005,21.147,17.708,1.123,209.871,0.87446,no_action
Z6G4_S6_001,2026-03-22 15:07:39,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,90,6,8,12.31,261.17,100.0,91.12,18.243,36.457,46.508,22.672,16.878,1.364,225.135,0.93806,no_action
Z6G4_S6_001,2026-03-22 15:07:54,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,105,6,10,8.44,235.73,89.6,87.69,17.042,34.523,47.149,19.382,19.471,1.503,219.1,0.91292,no_action
Z6G4_S6_001,2026-03-22 15:08:09,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,120,6,8,12.22,218.17,83.35,81.51,17.231,41.845,48.895,21.41,17.614,1.513,231.822,0.96593,no_action
Z6G4_S6_001,2026-03-22 15:08:24,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,135,5,7,13.15,255.45,91.23,91.33,13.989,32.574,41.579,19.534,18.697,0.78,218.19,0.90912,no_action
Z6G4_S6_001,2026-03-22 15:08:39,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,150,6,7,10.09,257.43,88.78,78.37,15.643,38.436,46.934,21.254,19.941,1.511,214.98,0.89575,no_action
Z6G4_S6_001,2026-03-22 15:08:54,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,165,6,8,10.83,229.58,87.31,89.21,17.27,35.373,48.293,19.898,18.973,1.112,224.603,0.93585,no_action
Z6G4_S6_001,2026-03-22 15:09:09,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,180,6,9,12.76,244.01,86.43,90.07,16.15,35.122,45.622,21.38,19.863,1.161,227.983,0.94993,no_action
Z6G4_S6_001,2026-03-22 15:09:24,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,195,6,8,12.45,230.54,83.23,81.7,17.446,38.404,51.094,21.464,18.359,1.095,224.884,0.93702,no_action
Z6G4_S6_001,2026-03-22 15:09:39,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,210,5,8,11.29,244.87,96.97,85.4,15.679,36.117,46.643,21.223,17.28,0.739,218.233,0.9093,no_action
Z6G4_S6_001,2026-03-22 15:09:54,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,225,6,7,11.13,231.72,78.55,78.11,12.949,34.775,53.003,20.228,18.528,1.063,209.682,0.87367,no_action
Z6G4_S6_001,2026-03-22 15:10:09,15,2,processing,overview_scan,high,True,True,True,True,False,False,240,0,0,0.0,0.0,86.31,14.97,24.152,45.909,57.605,8.535,0.658,3.378,213.44,0.88933,no_action
Z6G4_S6_001,2026-03-22 15:10:24,15,2,processing,overview_scan,high,True,True,True,True,False,True,0,0,0,0.0,0.0,91.59,10.43,22.884,43.504,53.12,10.774,1.497,3.465,219.176,0.91323,no_action
Z6G4_S6_001,2026-03-22 15:10:39,15,2,processing,none,high,True,False,False,False,False,False,15,0,0,0.0,0.0,70.79,14.81,20.154,40.794,46.088,6.539,2.041,3.577,209.373,0.87239,no_action
