session_id,timestamp,sample_interval_sec,workflow_block_id,workflow_phase,experiment_type,quality_constraint,experiment_running_flag,monitoring_required_flag,live_view_enabled_flag,continuous_acquisition_display_flag,tile_scan_enabled_flag,user_interacting_flag,seconds_since_last_ui_interaction,tile_count_x,tile_count_y,tile_overlap_pct,planned_scan_area_mm2,preview_resolution_pct,camera_light_usage_index_pct,perf_cpu_pct,perf_gpu_usage_pct,perf_gpu_power_w,perf_disk_write_mb_s,perf_incoming_data_mb_s,processing_items_in_flight,estimated_system_power_w,estimated_energy_wh_interval,recommended_action
Z6G4_S7_001,2026-03-22 14:58:09,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,15,9,11,21.75,466.91,77.06,85.1,19.412,52.518,56.235,31.899,28.483,1.299,243.848,1.01603,no_action
Z6G4_S7_001,2026-03-22 14:58:24,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,30,9,10,23.38,484.51,82.69,75.05,15.625,48.488,54.04,32.582,29.371,1.02,238.083,0.99201,no_action
Z6G4_S7_001,2026-03-22 14:58:39,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,45,9,10,23.11,519.13,73.17,86.5,20.721,49.949,58.41,31.812,31.448,0.765,243.35,1.01396,no_action
Z6G4_S7_001,2026-03-22 14:58:54,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,60,9,11,21.34,463.32,82.63,85.87,20.651,52.064,58.036,30.791,28.272,0.473,253.216,1.05507,no_action
Z6G4_S7_001,2026-03-22 14:59:09,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,75,9,11,22.83,474.32,76.2,82.56,19.351,48.659,58.799,34.123,29.935,1.417,238.768,0.99487,no_action
Z6G4_S7_001,2026-03-22 14:59:24,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,90,9,11,26.14,456.05,79.63,86.3,19.77,50.887,57.352,32.567,29.132,1.391,251.773,1.04905,no_action
Z6G4_S7_001,2026-03-22 14:59:39,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,105,9,11,20.2,447.42,86.54,78.38,16.051,51.331,53.983,30.166,29.92,1.434,237.914,0.99131,no_action
Z6G4_S7_001,2026-03-22 14:59:54,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,120,9,11,21.89,461.97,75.06,79.18,21.206,49.235,56.546,33.8,29.184,1.061,244.838,1.02016,no_action
Z6G4_S7_001,2026-03-22 15:00:09,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,135,9,12,20.96,473.99,79.58,78.87,16.661,51.149,57.355,32.464,29.211,1.327,244.73,1.01971,no_action
Z6G4_S7_001,2026-03-22 15:00:24,15,1,tile_scan_acquisition,tile_scan,high,True,True,True,True,True,False,150,9,12,22.58,475.64,84.16,75.77,21.126,51.12,57.343,33.09,28.586,1.513,258.396,1.07665,no_action
