session_id,timestamp,sample_interval_sec,workflow_block_id,workflow_phase,experiment_type,quality_constraint,experiment_running_flag,monitoring_required_flag,live_view_enabled_flag,continuous_acquisition_display_flag,tile_scan_enabled_flag,user_interacting_flag,seconds_since_last_ui_interaction,tile_count_x,tile_count_y,tile_overlap_pct,planned_scan_area_mm2,preview_resolution_pct,camera_light_usage_index_pct,perf_cpu_pct,perf_gpu_usage_pct,perf_gpu_power_w,perf_disk_write_mb_s,perf_incoming_data_mb_s,processing_items_in_flight,estimated_system_power_w,estimated_energy_wh_interval,recommended_action
Z6G4_S8_001,2026-03-22 14:58:09,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,15,6,7,11.37,223.92,68.68,72.18,13.231,42.77,56.281,22.038,18.133,1.072,219.539,0.91475,no_action
Z6G4_S8_001,2026-03-22 14:58:24,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,30,7,7,12.65,258.15,68.32,64.07,14.52,41.384,55.302,18.527,18.38,0.317,205.215,0.85506,no_action
Z6G4_S8_001,2026-03-22 14:58:39,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,45,7,7,9.59,260.0,69.82,62.62,15.956,42.911,49.604,19.493,16.363,1.102,218.942,0.91226,no_action
Z6G4_S8_001,2026-03-22 14:58:54,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,60,7,9,11.41,287.5,67.59,75.2,14.214,39.935,55.605,21.642,16.834,0.898,208.901,0.87042,no_action
Z6G4_S8_001,2026-03-22 14:59:09,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,75,7,9,11.14,288.37,73.64,67.22,14.811,38.859,50.492,21.291,16.081,0.521,211.072,0.87947,no_action
Z6G4_S8_001,2026-03-22 14:59:24,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,90,6,8,11.25,262.25,69.51,63.88,13.047,45.317,50.741,21.037,15.135,1.124,219.664,0.91527,no_action
Z6G4_S8_001,2026-03-22 14:59:39,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,105,8,7,12.5,263.64,77.07,72.45,15.202,40.312,50.074,21.681,15.429,0.865,219.206,0.91336,no_action
Z6G4_S8_001,2026-03-22 14:59:54,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,120,7,8,8.19,244.58,71.0,69.45,12.522,39.147,49.39,18.387,16.909,1.127,214.614,0.89423,no_action
Z6G4_S8_001,2026-03-22 15:00:09,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,True,0,7,7,16.29,251.52,68.56,72.28,15.329,38.144,51.866,22.553,18.614,1.246,220.426,0.91844,optimize_tile_scan_settings
Z6G4_S8_001,2026-03-22 15:00:24,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,15,7,8,12.07,250.78,76.79,66.06,16.68,44.212,54.808,23.327,18.286,0.882,222.581,0.92742,no_action
Z6G4_S8_001,2026-03-22 15:00:39,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,30,6,8,8.58,267.79,80.57,69.24,12.874,39.951,51.593,22.655,16.875,0.977,224.642,0.93601,no_action
Z6G4_S8_001,2026-03-22 15:00:54,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,45,6,8,14.15,245.93,66.44,69.42,17.402,37.133,50.181,19.555,17.89,0.713,211.728,0.8822,no_action
Z6G4_S8_001,2026-03-22 15:01:09,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,60,6,8,11.87,282.33,64.65,71.61,14.339,36.962,46.706,21.292,17.137,0.771,210.51,0.87712,no_action
Z6G4_S8_001,2026-03-22 15:01:24,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,75,8,7,11.71,271.89,62.22,66.79,15.805,38.752,50.625,21.264,16.019,0.953,213.164,0.88818,no_action
Z6G4_S8_001,2026-03-22 15:01:39,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,90,8,7,13.39,284.31,68.17,72.42,14.512,44.585,54.927,20.193,15.53,0.917,212.549,0.88562,no_action
Z6G4_S8_001,2026-03-22 15:01:54,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,105,7,9,9.17,249.61,64.78,69.52,12.307,39.78,48.084,19.134,15.975,0.74,228.261,0.95109,no_action
