session_id,timestamp,sample_interval_sec,workflow_block_id,workflow_phase,experiment_type,quality_constraint,experiment_running_flag,monitoring_required_flag,live_view_enabled_flag,continuous_acquisition_display_flag,tile_scan_enabled_flag,user_interacting_flag,seconds_since_last_ui_interaction,tile_count_x,tile_count_y,tile_overlap_pct,planned_scan_area_mm2,preview_resolution_pct,camera_light_usage_index_pct,perf_cpu_pct,perf_gpu_usage_pct,perf_gpu_power_w,perf_disk_write_mb_s,perf_incoming_data_mb_s,processing_items_in_flight,estimated_system_power_w,estimated_energy_wh_interval,recommended_action
Z6G4_S9_001,2026-03-22 14:58:09,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,15,6,7,13.18,256.47,75.83,70.23,17.415,43.482,59.265,24.406,21.747,1.599,239.061,0.99609,no_action
Z6G4_S9_001,2026-03-22 14:58:24,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,30,6,7,16.22,238.65,76.3,83.21,18.07,41.122,50.011,26.09,21.537,0.764,228.329,0.95137,optimize_tile_scan_settings
Z6G4_S9_001,2026-03-22 14:58:39,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,45,6,7,15.39,223.03,71.43,76.43,16.347,44.455,51.117,24.686,21.728,1.0,241.137,1.00474,optimize_tile_scan_settings
Z6G4_S9_001,2026-03-22 14:58:54,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,60,6,8,12.87,216.82,73.73,79.55,15.201,43.243,50.022,25.476,21.053,1.357,229.194,0.95497,no_action
Z6G4_S9_001,2026-03-22 14:59:09,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,True,0,6,8,14.48,260.81,85.39,75.65,18.322,42.884,53.168,23.485,25.162,1.896,235.088,0.97953,no_action
Z6G4_S9_001,2026-03-22 14:59:24,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,15,6,8,15.42,253.48,68.08,80.47,19.138,37.83,46.709,27.055,20.721,1.408,233.726,0.97386,optimize_tile_scan_settings
Z6G4_S9_001,2026-03-22 14:59:39,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,30,7,9,12.58,253.21,75.21,80.8,15.598,40.691,52.398,25.901,24.455,0.408,226.082,0.94201,no_action
Z6G4_S9_001,2026-03-22 14:59:54,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,45,6,9,15.3,250.08,75.46,83.48,16.309,44.214,54.337,23.759,22.714,1.444,230.653,0.96105,optimize_tile_scan_settings
Z6G4_S9_001,2026-03-22 15:00:09,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,60,6,8,10.45,201.59,59.07,78.5,19.64,40.274,52.377,24.345,23.18,1.501,234.058,0.97524,no_action
Z6G4_S9_001,2026-03-22 15:00:24,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,True,0,6,7,13.9,226.36,80.15,78.02,16.379,44.003,54.713,24.516,23.161,0.776,229.709,0.95712,no_action
Z6G4_S9_001,2026-03-22 15:00:39,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,True,0,6,9,12.04,226.74,85.51,80.72,18.459,44.351,53.769,26.184,20.693,1.056,237.968,0.99153,no_action
Z6G4_S9_001,2026-03-22 15:00:54,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,15,5,8,11.91,231.72,77.66,77.9,17.76,44.346,56.15,25.01,21.373,1.293,224.343,0.93476,no_action
Z6G4_S9_001,2026-03-22 15:01:09,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,True,0,6,7,12.12,245.99,91.26,87.6,17.887,46.225,57.411,25.485,24.081,1.425,236.857,0.9869,no_action
Z6G4_S9_001,2026-03-22 15:01:24,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,15,5,7,11.4,225.87,87.6,68.75,15.595,40.061,48.936,26.256,23.39,0.895,230.536,0.96057,no_action
Z6G4_S9_001,2026-03-22 15:01:39,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,30,6,8,12.33,247.59,73.01,84.58,16.792,44.03,48.925,25.665,20.963,1.146,233.797,0.97415,no_action
Z6G4_S9_001,2026-03-22 15:01:54,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,45,6,9,13.51,263.86,96.92,79.0,18.003,44.8,56.304,27.465,21.8,1.213,227.801,0.94917,no_action
Z6G4_S9_001,2026-03-22 15:02:09,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,True,0,6,7,11.28,232.05,79.84,82.93,16.747,42.223,49.957,24.629,22.436,1.43,226.327,0.94303,no_action
Z6G4_S9_001,2026-03-22 15:02:24,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,15,6,7,11.99,259.4,77.2,75.74,18.013,39.519,48.779,25.312,22.963,1.578,231.895,0.96623,no_action
Z6G4_S9_001,2026-03-22 15:02:39,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,30,6,9,12.08,247.94,83.89,86.38,17.331,43.36,50.401,24.904,23.344,1.741,238.212,0.99255,no_action
Z6G4_S9_001,2026-03-22 15:02:54,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,True,0,6,7,10.9,262.77,75.2,88.45,15.946,43.079,53.025,26.177,20.723,0.819,226.385,0.94327,no_action
Z6G4_S9_001,2026-03-22 15:03:09,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,True,0,6,8,14.03,215.57,75.59,75.6,15.349,41.625,55.801,22.809,23.757,1.062,220.107,0.91711,no_action
Z6G4_S9_001,2026-03-22 15:03:24,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,15,6,8,9.55,217.04,79.92,81.38,13.988,44.217,50.174,24.02,21.947,0.947,219.639,0.91516,no_action
Z6G4_S9_001,2026-03-22 15:03:39,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,30,7,9,12.0,227.38,85.7,76.84,16.091,45.242,54.408,24.47,20.891,1.118,234.408,0.9767,no_action
Z6G4_S9_001,2026-03-22 15:03:54,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,45,6,8,10.34,248.96,83.17,83.44,14.718,42.836,49.407,25.473,21.72,0.993,233.335,0.97223,no_action
Z6G4_S9_001,2026-03-22 15:04:09,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,60,6,8,16.69,236.74,92.7,78.69,16.606,39.649,55.403,24.069,21.484,0.623,220.907,0.92045,optimize_tile_scan_settings
Z6G4_S9_001,2026-03-22 15:04:24,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,75,6,9,9.86,197.87,86.37,86.46,19.653,43.75,54.683,23.898,22.585,0.672,233.661,0.97359,no_action
Z6G4_S9_001,2026-03-22 15:04:39,15,1,tile_scan_acquisition,tile_scan,medium,True,True,True,True,True,False,90,6,9,8.67,238.82,65.03,81.77,15.845,43.319,54.901,24.499,21.101,1.3,230.366,0.95986,no_action
